Airport_Code,Timezone,Ocorrencias,Airport_Name
KBGM,US/Eastern,59,Greater Binghamton/Edwin A Link field
KBGR,US/Eastern,12,Bangor International Airport
KBHB,US/Eastern,2,Hancock County-Bar Harbor Airport
KBHK,US/Mountain,2,Baker Municipal Airport
KBHM,US/Central,331,Birmingham-Shuttlesworth International Airport
KBIF,US/Mountain,24,Biggs Army Air Field (Fort Bliss)
KBIH,US/Pacific,23,Eastern Sierra Regional Airport
KBIL,US/Mountain,71,Billings Logan International Airport
KBIS,US/Central,3,Bismarck Municipal Airport
KBIV,US/Eastern,86,West Michigan Regional Airport
KBIX,US/Central,11,Keesler Air Force Base
KBJC,US/Mountain,629,Rocky Mountain Metropolitan Airport
KBJI,US/Central,23,Bemidji Regional Airport
KBJJ,US/Eastern,25,Wayne County Airport
KBKD,US/Central,3,Stephens County Airport
KBKE,US/Pacific,52,Baker City Municipal Airport
KBKF,US/Mountain,334,Buckley Space Force Base
KBKL,US/Eastern,374,Burke Lakefront Airport
KBKV,US/Eastern,146,Brooksville–Tampa Bay Regional Airport
KBKW,US/Eastern,18,Raleigh County Memorial Airport
KBLF,US/Eastern,16,Mercer County Airport
KBLH,US/Pacific,26,Blythe Airport
KBLI,US/Pacific,64,Bellingham International Airport
KBLM,US/Eastern,148,Monmouth Executive Airport
KBLU,US/Pacific,100,Blue Canyon Nyack Airport
KBLV,US/Central,10,Scott AFB/Midamerica Airport
KBMC,US/Mountain,43,Brigham City Regional Airport
KBMG,US/Eastern,20,Monroe County Airport
KBMI,US/Central,6,Central Illinois Regional Airport at Bloomington-Normal
KBMT,US/Central,2,Beaumont Municipal Airport
KBNA,US/Central,1904,Nashville International Airport
KBNL,US/Eastern,17,Barnwell Regional Airport
KBNO,US/Pacific,40,Burns Municipal Airport
KBNW,US/Central,3,Boone Municipal Airport
KBOI,US/Mountain,55,Boise Air Terminal/Gowen Field
KBOK,US/Pacific,28,Brookings Airport
KBOS,US/Eastern,600,Logan International Airport
KBOW,US/Eastern,28,Bartow Executive Airport
KBPG,US/Central,3,Big Spring Mc Mahon-Wrinkle Airport
KBQK,US/Eastern,16,Brunswick Golden Isles Airport
KBRD,US/Central,30,Brainerd Lakes Regional Airport
KBTA,US/Central,48,Blair Executive Airport
KBTL,US/Eastern,31,Battle Creek Executive Airport at Kellogg Field
KBTM,US/Mountain,38,Bert Mooney Airport
KBTP,US/Eastern,95,Pittsburgh/Butler Regional Airport
KBTR,US/Central,1106,Baton Rouge Metropolitan Airport
KBTV,US/Eastern,9,Burlington International Airport
KBUF,US/Eastern,418,Buffalo Niagara International Airport
KBUO,US/Pacific,357,
KBUR,US/Pacific,385,Hollywood Burbank Airport
KBUU,US/Central,17,Burlington Municipal Airport
KBUY,US/Eastern,41,Burlington Alamance Regional Airport
KBVI,US/Eastern,28,Beaver County Airport
KBVS,US/Pacific,34,Skagit Regional Airport
KBVU,US/Pacific,2,Boulder City Municipal Airport
KBVY,US/Eastern,157,Beverly Regional Airport
KBWG,US/Central,4,Bowling Green Warren County Regional Airport
KBWI,US/Eastern,337,Baltimore/Washington International Thurgood Marshall Airport
KBXK,US/Mountain,30,Buckeye Municipal Airport
KBYG,US/Mountain,2,Johnson County Airport
KBYH,US/Central,6,Arkansas International Airport
KBYI,US/Mountain,2,Burley Municipal Airport
KBZN,US/Mountain,89,Bozeman Yellowstone International Airport
KC09,US/Central,18,Morris Municipal Airport James R. Washburn field
KC29,US/Central,37,Middleton Municipal Morey Field
KC35,US/Central,3,Reedsburg Municipal Airport
KC75,US/Central,3,Marshall County Airport
KCAD,US/Eastern,5,Wexford County Airport
KCAE,US/Eastern,484,Columbia Metropolitan Airport
KCAG,US/Mountain,5,Craig Moffat Airport
KCAK,US/Eastern,51,Akron Canton Regional Airport
KCAV,US/Central,3,Clarion Municipal Airport
KCBE,US/Eastern,25,Greater Cumberland Regional Airport
KCBF,US/Central,16,Council Bluffs Municipal Airport
KCBG,US/Central,26,Cambridge Municipal Airport
KCCA,US/Central,2,Clinton Municipal Airport
KCCO,US/Eastern,39,Newnan Coweta County Airport
KCCR,US/Pacific,747,Buchanan Field
KCCU,US/Mountain,81,
KCCY,US/Central,5,Northeast Iowa Regional Airport
KCDC,US/Mountain,53,Cedar City Regional Airport
KCDH,US/Central,2,Harrell Field
KCDN,US/Eastern,94,Woodward Field
KCDW,US/Eastern,219,Essex County Airport
KCEC,US/Pacific,31,Jack Mc Namara Field Airport
KCEF,US/Eastern,34,Westover Metropolitan Airport / Westover Air Reserve Base
KCEU,US/Eastern,156,Oconee County Regional Airport
KCEW,US/Central,15,Bob Sikes Airport
KCEZ,US/Mountain,3,Cortez Municipal Airport
KCFE,US/Central,52,Buffalo Municipal Airport
KCFS,US/Eastern,4,Tuscola Area Airport
KCGC,US/Eastern,21,Crystal River Airport
KCGE,US/Eastern,20,Cambridge Dorchester Airport
KCGF,US/Eastern,85,Cuyahoga County Airport
KCGS,US/Eastern,499,College Park Airport
KCGZ,US/Mountain,20,Casa Grande Municipal Airport
KCHA,US/Eastern,329,Chattanooga Metropolitan Airport (Lovell Field)
KCHD,US/Mountain,110,Chandler Municipal Airport
KCHJ,US/Mountain,3,
KCHO,US/Eastern,99,Charlottesville Albemarle Airport
KCHS,US/Eastern,224,Charleston International Airport
KCIC,US/Pacific,78,Chico Regional Airport
KCID,US/Central,66,The Eastern Iowa Airport
KCIR,US/Central,2,Cairo Regional Airport
KCJR,US/Eastern,24,Culpeper Regional Airport
KCKB,US/Eastern,16,North Central West Virginia Airport
KCKF,US/Eastern,15,Crisp County Cordele Airport
KCKI,US/Eastern,47,Williamsburg Regional Airport
KCKP,US/Central,2,Cherokee County Regional Airport
KCKV,US/Central,35,Clarksville–Montgomery County Regional Airport
KCLE,US/Eastern,211,Cleveland Hopkins International Airport
KCLI,US/Central,2,Clintonville Municipal Airport
KCLL,US/Central,2,Easterwood Field
KCLM,US/Pacific,8,William R Fairchild International Airport
KCLS,US/Pacific,27,Chehalis Centralia Airport
KCLT,US/Eastern,1876,Charlotte Douglas International Airport
KCMA,US/Pacific,132,Camarillo International Airport
KCMH,US/Eastern,548,John Glenn Columbus International Airport
KCMI,US/Central,9,University of Illinois Willard Airport
KCMR,US/Mountain,46,H.A. Clark Memorial Field
KCMS,US/Mountain,6,
KCMX,US/Eastern,3,Houghton County Memorial Airport
KCMY,US/Central,5,Sparta Fort McCoy Airport
KCNC,US/Central,3,Chariton Municipal Airport
KCNI,US/Eastern,28,Cherokee County Regional Airport
KCNO,US/Pacific,84,Chino Airport
KCNW,US/Central,7,TSTC Waco Airport
KCNY,US/Mountain,17,Canyonlands Regional Airport
KCOE,US/Pacific,20,Coeur D'Alene Airport - Pappy Boyington Field
KCOF,US/Eastern,45,Patrick Space Force Base
KCON,US/Eastern,75,Concord Municipal Airport
KCOQ,US/Central,41,Cloquet Carlton County Airport
KCOS,US/Mountain,146,City of Colorado Springs Municipal Airport
KCOU,US/Central,16,Columbia Regional Airport
KCPC,US/Eastern,40,Columbus County Municipal Airport
KCPK,US/Eastern,34,Chesapeake Regional Airport
KCPR,US/Mountain,2,Casper-Natrona County International Airport
KCPS,US/Central,280,St Louis Downtown Airport
KCPW,US/Mountain,5,
KCQF,US/Central,7,H L Sonny Callahan Airport
KCQM,US/Central,5,Cook Municipal Airport
KCQT,US/Pacific,1599,Pacific Valley Aviation Airport
KCQW,US/Eastern,16,Cheraw Municipal Airport/Lynch Bellinger Field
KCQX,US/Eastern,6,Chatham Municipal Airport
KCRE,US/Eastern,55,Grand Strand Airport
KCRG,US/Eastern,103,Jacksonville Executive at Craig Airport
KCRQ,US/Pacific,297,McClellan-Palomar Airport
KCRV,US/Mountain,13,
KCRW,US/Eastern,121,Yeager Airport
KCSG,US/Eastern,18,Columbus Metropolitan Airport
KCSV,US/Central,15,Crossville Memorial Airport Whitson Field
KCTB,US/Mountain,6,Cut Bank International Airport
KCTD,US/Mountain,10,
KCTJ,US/Eastern,20,West Georgia Regional Airport / O V Gray Field
KCTY,US/Eastern,16,Cross City Airport
KCTZ,US/Eastern,8,Sampson County Airport
KCUB,US/Eastern,363,Jim Hamilton L.B. Owens Airport
KCUL,US/Central,3,Carmi Municipal Airport
KCVG,US/Eastern,233,Cincinnati Northern Kentucky International Airport
KCVH,US/Pacific,75,Hollister Municipal Airport
KCVO,US/Pacific,101,Corvallis Municipal Airport
KCVX,US/Eastern,2,Charlevoix Municipal Airport
